Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
Ammonium stearate,"Surfactant,
                                                                    Emulsifier",,,1,
Ammonium styrene/acrylates copolymer,,,,1-2,
Ammonium sulfite,Preservative,,,,
Ammonium tallate,"Surfactant,
                                                                    Emulsifier",,,,
Ammonium thioglycolate,,,,2-4,
Ammonium va/acrylates copolymer,Antistatic,,,,
Ammonium Xylenesulfonate,"Surfactant,
                                                                    Viscosity Control",,,1,
Amodimethicone,Antistatic,,,1,
Amodimethicone Hydroxystearate,,,,,
AMP-acrylates copolymer,,,,1-2,
Amyl acetate,Solvent,,,1,
Amyl cinnamal,Fragrance,,,,
Amylcinnamyl alcohol,Fragrance,,,3-4,
Anise alcohol,Fragrance,,,3,
Annatto,Pigment,,,,
Anthemis Nobilis Flower Extract,Fragrance,,,2,
Anthemis Nobilis Flower Oil,Fragrance,,,1-2,
Anthemis Nobilis Flower Powder,,,,1-4,
Anthemis Nobilis Flower Water,,,,1-2,
Arachidonic acid,Emollient,,,1,
Arachidyl Glucoside,Emulsifier,,,2,
Arachidyl propionate,Emollient,,,1,
Arachis hypogaea flour,Viscosity Control,,,,
Arachis Hypogaea Oil,"Solvent,
                                                                    Emollient,
                                                                    Plant extract",2,0-2,1-2,
Argania spinosa Kernel Oil,Emollient,,,1,
Arginine,"Antistatic,
                                                                    Moisturizer",,,1,
Arginine HCl,,,,1,
Arnica montana,"Anti-inflammatory,
                                                                    Astringent",,,1,
Arnica Montana Flower Extract,Fragrance,,,2,
Ascorbic Acid,"Antioxidant,
                                                                    Whitening",0,0,1,
Ascorbyl Dipalmitate,Whitening,,,1,
Ascorbyl Palmitate,Antioxidant,2,0,1,
Ascorbyl stearate,Antioxidant,,,,
Asparagine,Antistatic,,,1,
Aspartic acid,"Antistatic,
                                                                    Moisturizer",,,1,
Astragalus Gummifer Gum,Viscosity Control,,,1,
Astrocaryum Murumuru Seed Butter,Emollient,,,1,
Attapulgite,Viscosity Control,,,,
Avena Sativa Kernel Meal,,,,1,
Azulene,Anti-inflammatory,2,0,1-3,
"Alcohol and Alcohol Denat.
                                
                                
                                    No results",,,,,
"Aluminum Salts Used in Antiperspirants
                                
                                
                                    No results",,,,,
"Ammonium Pareth-25 Sulfate
                                
                                
                                    No results",,,,,
